thisRow.t	notes	trial_no	onset_time	words	condition_name	valence	judgement	accurate_onsetTime	reaction_time	rt	responses	answer	setting	words_file	subID	sessionID	runID	
		63	248	insulting	OBAMA	1	OBAMA	248.01688520802418	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		64	252	self-centered	SELF	1	SELF	252.017198208021	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		65	256	studious	SELF	2	SELF	256.01616612501675	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		66	260	talkative	SELF	1	SELF	260.0171624580398	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		67	264	lazy	SELF	3	SELF	264.0161572500365	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		68	268	soft-hearted	OBAMA	1	OBAMA	268.01708295801654	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		69	272	persistent	SELF	2	SELF	272.01670695800567	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		70	276	deliberate	UPPERCASE	1	LOWER	276.015746708028	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		71	280	haha	UPPERCASE	3	LOWER	280.0162371250335	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		72	284	unadventurous	UPPERCASE	1	UPPER	284.0164874580223	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		73	288	forgetful	UPPERCASE	2	LOWER	288.01642179104965	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		74	292	trustful	OBAMA	3	OBAMA	292.0176956659998	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		75	296	lazy	OBAMA	2	OBAMA	296.0165568329976	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		76	300	untruthful	OBAMA	1	OBAMA	300.01615037501324	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		77	304	forward	OBAMA	2	OBAMA	304.01651120802853	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		78	308	creative	SELF	3	SELF	308.0166721660062	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		79	312	romantic	OBAMA	2	OBAMA	312.0173329579993	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		80	316	kind-hearted	OBAMA	3	OBAMA	316.0164114580257	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		81	320	unemotional	SELF	2	SELF	320.016658166016	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		82	324	inoffensive	OBAMA	1	OBAMA	324.0162429159973	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		83	328	witty	UPPERCASE	3	LOWER	328.0172340410063	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		84	332	underhanded	OBAMA	3	OBAMA	332.01719174999744	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		85	336	amusing	SELF	1	SELF	336.01645533303963	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		86	340	perfectionistic	SELF	1	SELF	340.01725387503393	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		87	344	thoughtless	SELF	2	SELF	344.01756591600133	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		88	348	self-disciplined	OBAMA	3	OBAMA	348.0159163750359	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		89	352	witty	UPPERCASE	2	UPPER	352.0167236250127	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		90	356	unruly	UPPERCASE	1	UPPER	356.0175985000096	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		91	360	hot-headed	OBAMA	2	OBAMA	360.01735216600355	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		92	364	considerate	SELF	2	SELF	364.0164787080139	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		93	368	sincere	UPPERCASE	2	LOWER	368.01689004100626	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		94	372	daydreamer	UPPERCASE	1	UPPER	372.01568175002467	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		95	376	short-tempered	SELF	2	SELF	376.0171369580203	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		96	380	loud-mouthed	OBAMA	2	OBAMA	380.01729362504557	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		97	384	crude	SELF	3	SELF	384.01745875005145	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		98	388	sloppy	SELF	2	SELF	388.0164840000216	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		99	392	forward	SELF	3	SELF	392.0168923330493	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		100	396	resentful	UPPERCASE	1	UPPER	396.0165825000149	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		101	400	moralistic	SELF	1	SELF	400.016277000017	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		102	404	romantic	SELF	3	SELF	404.0167507910519	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		103	408	patient	UPPERCASE	1	LOWER	408.01652958302293	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		104	412	lucky	OBAMA	1	OBAMA	412.0165965410415	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		105	416	unattentive	SELF	3	SELF	416.01660558301955	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
		106	420	wholesome	SELF	1	SELF	420.0156997910235	None	None	None		PRACTICE	wordlist_run1.csv	0	baseline	1	
